objectid,filename,title,creator,date,display_date,description,subject,location,Collection,format,physicaldescription,rights,latitude,longitude
image24,image24.jpg,Four horseman of the Apocalypse,"Dürer, Albrecht (1471-1528)",1497,1497-1498,"The third and most famous woodcut from Dürer's series of illustrations for The Apocalypse, the Four Horsemen presents a dramatically distilled version of the passage from the Book of Revelation (6:1–8): ""And I saw, and behold, a white horse, and its rider had a bow; and a crown was given to him, and he went out conquering and to conquer. When he opened the second seal, I heard the second living creature say, 'Come!' And out came another horse, bright red; its rider was permitted to take peace from the earth, so that men should slay one another; and he was given a great sword. When he opened the third seal, I heard the third living creature say, 'Come!' And I saw, and behold, a black horse, and its rider had a balance in his hand; ... When he opened the fourth seal, I heard the voice of the fourth living creature say, 'Come!' And I saw, and behold, a pale horse, and its rider's name was Death, and Hades followed him; and they were given great power over a fourth of the earth; to kill with sword and with famine and with pestilence and by wild beasts of the earth."" Transforming what was a relatively staid and unthreatening image in earlier illustrated Bibles, Dürer injects motion and danger into this climactic moment through his subtle manipulation of the woodcut. The parallel lines across the image establish a basic middle tone against which the artist silhouettes and overlaps the powerful forms of the four horses and riders—from left to right, Death, Famine, War, and Plague (or Pestilence). Their volume and strong diagonal motion enhance the impact of the image, offering an eloquent demonstration of the masterful visual effects Dürer was able to create in this medium.",,"New York, USA",Metropolitan Museum of Art,image/jpeg,woodcut; 15 1/4 x 11 7/16 in. (38.8 x 29.1cm),"""Four horseman of the Apocalypse"" by the Metropolitan Museum, Gift of Mrs. Felix M.Warburg, 1940 (https://www.metmuseum.org/art/collection/search/336215), Public Domain",40.77965593,-73.96264319
image25,image25.jpg,Self-Portrait in Fur Coat (as Christ),"Dürer, Albrecht (1471-1528)",1500,1500,"The last of Dürer's three magnificent self-portraits was painted early in 1500, before his 29th birthday on 21 May. The picture is proudly inscribed: `Thus I, Albrecht Dürer from Nuremburg, painted myself with indelible colours at the age of 28 years.' It is a sombre image, painted primarily in browns, set against a plain dark background.

The face is striking for its resemblance to the head of Christ. In late medieval art, Jesus was traditionally presented in this manner, looking straight ahead in a symmetrical pose. Christ's brown hair in these images is parted towards the middle and falls over the shoulders. For the first and last time in Western art history, an artist was to portray himself in a Christ-like scheme. Given his idealized appearance as the underdrawing shows, his nose was originally irregular in shape - Dürer is approaching us in ""imitatio Christi"", in imitation of Christ. He has a short beard and moustache. Dürer has even painted himself with brown hair, although the other self-portraits show that it was actually reddish-blond. Dürer deliberately set out to create a Christ- like image, with his hand raised to his chest almost in a pose of blessing. But this was no gesture of arrogance or blasphemy. It was a statement of faith: Christ was the son of God and God had created Man. For Dürer, the painting was an acknowledgment that artistic skills were a God-given talent.

However, Dürer has subtly departed from the traditional image of Christ in his self-portrait. Despite initial appearances, the picture is not quite symmetrical. The head lies just off the centre of the panel to the right and the parting of the hair is not exactly in the middle, with the strands of hair falling a little differently on the two sides. The eyes stare slightly towards the left of the panel. Dürer also wears contemporary clothing, a fashionable fur- lined mantle. The result is a highly personal image, one whose `indelible colours' still influence the way we imagine Dürer looked in his later years.

The deceptive illusionism in which the picture is painted is also, however, a reference to the classical artistic legend about Apelles, with whom he had been compared by contemporary humanists.",,"Munich, Germany",Alte Pinakothek,image/jpeg,"Oil on lime panel, 67,1 x 48,7 cm","""Self-Portrait in Fur Coat (as Christ)"" by the Web Gallery of Art, Emil Krén and Daniel Marx, (https://www.wga.hu/html_m/d/durer/1/03/1self28.html), Public Domain.",48.13541752,11.57994325
image26,image26.jpg,Portrait of Erasmus,"Dürer, Albrecht (1471-1528)",1526,1526,"A Roman Catholic reformer and one the most important Netherlandish humanists, Erasmus of Rotterdam held a deep admiration for Albrecht Dürer, whom he praised in a eulogy as the greatest of graphic artists: ""And is it not more wonderful to accomplish without the blandishment of colors what Apelles accomplished with their aid?"" In likening Dürer to Apelles—indeed, in asserting the German's superiority over the Greek artist—Erasmus echoed a tradition dating back to antiquity of judging artists and the visual character of their work by the standards set by their predecessors. Dürer would certainly have appreciated the praise for his graphic talents. The portrait amply demonstrates the virtuous effects Dürer was able to achieve without the benefit of color or a liquid medium. Convincingly aligned at an angle to the picture plane, Erasmus stands writing in his study, with the books that indicate his substantial intellect and scholarship arranged around him. The vase of lilies probably refers to the purity of his mind, while the Latin and Greek inscription, prominently framed like a picture on the wall, underscores the scholar's humanistic interests: ""This image of Erasmus of Rotterdam was drawn from life by Albrecht Dürer."" Below are the date, 1526, in Roman numerals, and the artist's monogram.
Dürer met Erasmus at least once in Brussels and twice in Rotterdam during a trip to the Netherlands in 1520 and 1521. Although he sketched Erasmus several times during his trip, he did not execute the engraving until six years later, and only then with the encouragement of his close friend Willibald Pirkheimer; apparently, for certain reasons Dürer had been disappointed by the well-known Protestant reformer. Dürer based the portrait on a medal of 1519 in Pirkheimer's collection by Quentin Massys and reproduced the Greek inscription found on the medal, which states: ""A better portrait his writings show."" Presumably Erasmus agreed, because he made known his disappointment with this portrait to at least two of his colleagues. And yet, Dürer's Erasmus remains one of history's richest and most powerful depictions of scholarly preoccupation and the humanist ideal.",,"New York, USA",Metropolitan Museum of Art,image/jpeg,engraving; 9 3/4 x 7 1/2 in. (24.8 x 19.1 cm),"""Portrait of Erasmus"" by the Metropolitan Museum, Fletcher Fund, 1919, (https://www.metmuseum.org/art/collection/search/336231), Public Domain",40.77965593,-73.96264319
image27,image27.jpg,The Four Holy Men,"Dürer, Albrecht (1471-1528)",1526,1526,"The Four Apostles is a panel painting by the German Renaissance master Albrecht Dürer. It was finished in 1526, and is the last of his large works. It depicts the four apostles larger-than-life-size. The Bavarian Elector Maximilian I obtained The Four Apostles in the year 1627 due to pressure on the Nuremberg city fathers. Since then, the painting has been in Munich, in the Alte Pinakothek, and, despite all the efforts of Nuremberg since 1806, it has not been returned.
The apostles are recognizable by their symbols: St. John the Evangelist: open book; St. Peter: keys; St. Mark: scroll; St. Paul: sword and closed book",,"Munich, Germany",Alte Pinakothek,image/jpeg,oil and tempera on linden wood; 204 × 74 cm (80.3 × 29.1 in) (x 2),"""The Four Holy Men"", : by Immanuel Giel, (https://commons.wikimedia.org/wiki/File:Vier_Apostel_(Albrecht_ Duerer).jpg), Public Domain.",48.13541752,11.57994325
image28,image28.jpg,Allegory of the Law and the Gospel,"Cranach, Lucas (c. 1472-1553)",1530,c. 1530,"The Old and the New Testament, or allegory of the law and the gospel; a tree at centre, dividing the sheet into two halves; to the left stand prophets with the law, while Death and a devil drive a naked man into hell; in the left background the Fall is depicted and in the sky the Last Judgement; in the right background the Brazen Serpent and the Israelites are seen, in the foreground stands St John with a man, pointing to Christ on the cross at upper right; at lower right, Christ rises from the sepulchre.",,"London, UK",British Museum,image/jpeg,woodcut and letterpress on paper; Height: 270mm (sheet) by 325mm,"""Allegory of the Law and the Gospel"", by the British Museum, (https://www.britishmuseum.org/collection/object/P_1895-0122-285), Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International.",51.51952563,-0.1222971035
image29,image29.jpg,St. George and the Dragon,"Altdorfer, Albrecht (1480-1538)",1510,1510,"The picture shows in the lower quarter the black armored saint on a white horse and next to it a rather inconspicuous red dragon.The horse is frightened of the monster, which George is staring at with his lance lowered. Most of the remaining space is filled with foliage; in the lower right half of the picture, the forest thins out and reveals a landscape with fields and mountains.The small-format picture is painted in oil on parchment; such a combination is quite unusual. Altdorfer uses the Alla Prima technique, known since the 16th century, which dispenses with layered structure, like underpainting and glaze, since only the yellow-green leafy scrolls are painted in the dark and the highlights are heightened.",,"Berlin, Germany",Alte Pinakothek,image/jpeg,oil on parchment paper attached to panel; height: 28.2 cm (11.1 in); width: 22.5 cm (8.8 in) ,"""St. George and the Dragon"", by the Yorck Project, 2002, (https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_045.jpg), Public Domain. ",52.52635052,13.37788187
image30,image30.jpg,Satyr family,"Altdorfer, Albrecht (1480-1538)",1507,1507,"A family of satyrs has settled on a tree-covered slope at the foot of a cliff.The man with horns and goat's feet is shown holding a club, while a blonde woman nestles against him and supports the child standing on her thigh.The couple seem to be oblivious of a scene taking place in a nearby meadow, where a woman in a red dress is attempting to flee from a naked man who is carrying a stick in one hand and holding her fast with the other.",,"Berlin, Germany","
Gemäldegalerie der Staatlichen Museen",image/jpeg,"panel; height: 23 cm (9 in), width: 20 cm (7.8 in)","""Satyr family"" by Sailko, (https://commons.wikimedia.org/wiki/File:Albrecht_altdorfer,_paesaggio_ con_famiglia_di_satiri,_1507,_02.JPG), Creative Commons Attribution 3.0 Unported.",52.52635052,13.37788187
image31,image31.jpg,"Eve, the Serpent, and Death","Baldung, Hans (1484/85-1545)",1520,c. 1520-1525,"In this panel, the bodies are grand in scale and fill essentially the entire space, and pale foreground colors are used against a dark background.The main elements are intertwined; the serpent is coiled around the tree trunk and also around Death, who he holds to the tree. Death's right arm extends upward to grasp the apple. The serpent, which has red eyes and a weasel-like head, closes its jaws around the wrist of Death's left arm, which is at the same time grasping the left arm of Eve. Eve's left hand holds part of the serpent's tail, while her right hand holds an apple behind her back.",,"Ottawa, Canada",National Gallery of Canada,image/jpeg,"oil on panel; height: 64 cm (25.1 in), width: 32.5 cm (12.7 in) ","""Eve, the Serpent, and Death"" by the Musée des beaux-arts du Canada, (https://en.wikipedia.org/wiki/Eve,_the_Serpent_and_Death), Public Domain.",45.42973074,-75.69846632
image33,image33.jpg,Death and the maiden,"Baldung, Hans (1484/85-1545)",1518,1518-1519,"In this painting a voluptuous young maiden turns to receive the kiss of her lover, only to discover, to her horror, Death.The skeletal figure gently holds her head, a gesture that belies the finality of his impending bite. His patches of wispy hair and rotting skin mock her flowing tresses and supple flesh.The dark setting, unnoticed at first, is a cemetery as she stands on a gravestone, perhaps her own.This Vanitas picture (an image that alludes to the transience of life) typifies Baldung's predilection for erotically charged twists to more conventional themes, such as the Dance of Death.",,"Basel, Switzerland",Kunstmuseum Basel,image/jpeg,"Oil on panel, 31 x 19 cm ","""Death and the maiden"", by the Web Gallery of Art, Emil Krén and Daniel Marx, (https://www.wga.hu/html_m/b/baldung/1/061death.html) ",47.55943989,7.588792254
image32,image32.jpg,Death and the maiden,"Baldung, Hans (1484/85-1545)",1517,1517,"The work depicts a popular theme that Baldung himself visited several times, that of the early death of a young woman, often with erotic overtones. In this version Death has seized hold of a voluptuous young woman's hair and is pointing down to a tomb in mock benediction. Above his head are written the words ""Hie must du yn"" or ""Here you must go"". The distraught victim, fully aware of her fate, wrings her hands together, pleading for her life.",,"Basel, Switzerland",Kunstmuseum Basel,image/png,oil on panel; width: 14.7cm (5.7 in); height: 30.3 cm (11.9 in),"""Death and the maiden"", by The Yorck Project (2002), (https://commons.wikimedia.org/wiki/F ile:Hans_Baldung_006.jpg)",47.55943989,7.588792254
image34,image34.jpg,Witches Sabbath,"Baldung, Hans (1484/85-1545)",1510,1510,"A masterpiece of German chiaroscuro, this woodcut is one of Hans Baldung Grien's best known prints, produced soon after his move to Strasbourg from Nuremberg, where he had worked as a journeyman with Albrecht Dürer from about 1503 to 1507. Although Baldung was not the inventor of the chiaroscuro woodcut—the credit for this must go to Hans Burgkmair—he was among the very earliest and most effective practitioners of the medium.
The tone block for this woodcut is sometimes printed in an orange-brown, casting a hellish glow onto the scene; here the use of a gray tone block creates an atmosphere of nocturnal gloom from which the three witches emerge, gathered around the steaming cauldron of ""flying unguent."" The flickering highlights, where the white of the paper is exposed, give three-dimensional presence to forms that would otherwise be engulfed by the dark setting and, by continuing the modeling of the dark hatching strokes, powerfully define the volumes of the monumental nudes, the blasted tree, and the solid coils of steam that support the witches as they ascend in the night air.
The interest in witchcraft in the German-speaking countries was especially strong at the beginning of the sixteenth century, heralded by the publication in 1487 of the Malleus Maleficarum (The Witches' Hammer) by Heinrich Kramer and Jacob Sprenger, which was reprinted fourteen times before 1520. Description from https://www.metmuseum.org/art/collection/search/336235",,"New York, USA",Metropolitan Museum of Art,image/jpeg,chiaroscuro woodcut; 15 5/16 × 10 5/8 in. (38.9 × 27 cm),"""Witches Sabbath"" by the Metropolitan Museum, Gift of Felix M. Warburg and his family, 1941, (https://www.metmuseum.org/art/collection/search/336235), Public Domain.",40.77965593,-73.96264319
image35,image35.jpg,Hermann von Wedigh III,"Holbein, Hans (c. 1497-1543)",1532,1532,"Description from Met: During his second sojourn in England (1532–43) Holbein made portraits for a new clientele, the German merchants of the Hanseatic League, whose guildhall was located in the London Steelyard. The sitter, whose ring displays the arms of the Wedighs of Cologne, is probably Hermann von Wedigh III, portrayed at age twenty-nine.The Latin quotation on the sheet of paper in the foreground, reading ""Truth breeds hatred,"" comes from a Roman comedy popular among Humanists, Andria by Terence.The inserted slip of paper could thus refer to the book’s content and perhaps have served as the sitter’s personal motto. https://www.metmuseum.org/art/collection/search/436658",,"New York, USA",Metropolitan Museum of Art,image/jpeg,Oil and gold on oak; 16 5/8 x 12 3/4 in. (42.2 x 32.4 cm),"""Hermann von Wedigh III"" by the Metropolitan Museum, Bequest of Edward S. Harkness, 1940, (https://www.metmuseum.org/art/collection/search/436658), Public Domain",40.77965593,-73.96264319
image36,image36.jpg,Derich Born,"Holbein, Hans (c. 1497-1543)",1533,1533,"Derich’s wealth is subtly displayed in the very expensive satin doublet and black fur-lined gown. This restrained elegance was the fashion in Cologne. His face is centrally placed and confronts the viewer; his elbow is precisely centrally below his face and his body is turned at a perfect angle. Infrared reflectography reveals slight but careful adjustments to the outlines of his shoulders, head and cap with freehand lines. The right-hand contour of the face was redrawn three times. Desccription: https://www.rct.uk/collection/405681/derich",,"Windsor, UK",Royal Collection Trust,image/jpeg,Oil on oak panel; 60.3 x 44.9 cm,"""Derich Born"" by the Royal Trust Collection, (https://www.rct.uk/collection/405681/derich), Public Domain. ",51.48429393,-0.6027783448
image37,image37.jpg,The Ambassadors,"Holbein, Hans (c. 1497-1543)",1533,1533,"Among the clues to the figures' associations are a selection of scientific instruments including two globes (one terrestrial and one celestial), a shepherd's dial, a quadrant, a torquetum, and a polyhedral sundial, as well as various textiles including the floor mosaic, based on a design from Westminster Abbey (the Cosmati pavement, before the High Altar), and the carpet on the upper shelf, an example of Oriental carpets in Renaissance painting.The figure on the left is in secular attire while the figure on the right is dressed in clerical clothes. They flank the table, which displays open books and symbols of religious knowledge, including a symbolic link to the Virgin. Near the top left corner, a crucifix can be seen, partially covered by the curtain. Description from: https://en.wikipedia.org/wiki/The_Ambassadors_(Holbein)",,"Washington D.C., USA",National Gallery of Art,image/png,oil on oak wood; length: 209.5 cm (82.4 in); height: 207 cm (81.4 in),"The Ambassadors, by the National Gallery of Art, (https://www.nationalgallery.org.uk/paintings/hans-holbein-the-younger-the-ambassadors), Public Domain.",38.89154008,-77.0193642
image38,image38.jpg,Ill Matched Lovers,"Massy, Quentin (1466-1530)",1520,c. 1520,"This painting provides a clear illustration of the ideas that old age, especially lecherous old age, leads to foolishness—with the fool participating in the deception by helping to rob the old man's purse— and that women's sexual powers cause men to behave absurdly and to lose their wits and their money.The deck of cards may allude to competition between the sexes, morally loose or amorous behavior, and the loss and gain of money through gambling. The painting is an example of Massys' ability to assimilate elements from both northern and Italian art. Apparently familiar with Leonardo da Vinci's grotesque drawings of physiognomy and distortion, Massys adapted the facial type for the old lecher from one of Leonardo's caricatures, and the complicated pose of the suitor from Leonardo's lost drawing of an ill–matched pair, known today through a later copy.",,"Washington D.C., USA",National Gallery of Art,image/jpeg,oil on panel; 43.2 x 63 cm (17 x 24 13/16 in.),"""Ill Matched Lovers"" by the National Gallery of Art, Ailsa Mellon Bruce Fund (https://www.nga.gov/collection/art-object-page.52622.html), Public Domain.",38.89154008,-77.0193642
image39,image39.jpg,Butcher’s Stall (A Meat Stall with the Holy Family Giving Alms),"Aertsen, Pieter (1508-1575)",1551,1551,"The artwork of A Meat Stall with the Holy Family Giving Alms consists of a large painting on panel in oil, depicting a profusion of foodstuffs in a highly realistic style, while the narrative is hidden in the background, seen through the stall windows and openings. Aertsen's paintings were often made in an ""inverted still life"" style in which the still-life aspects were in the foreground and the narrative aspects in the background. The viewer's senses are distracted by the rich display of various foods – plates in the foreground, meats, ham, lard, smoked fish, pigs' legs and head, bread, butter, milk, cheese and hanging pretzels (in the left corner) – that has been spread out in front of the viewer, and the figure subject is overwhelmed by the still-life composition.The various meats, including sausages, beef, fish, fowl and pork, are arranged on wooden tables, using baskets, pots and plates. A barrel and some wickerwork chairs serve as containers for the food items as well. Description from https://en.wikipedia.org/wiki/A_Meat_Stall_with_the_Holy_Family_Giving_Alms",,"Raleigh, USA",North Carolina Museum of Art,image/jpeg,oil on panel; 45 1/2 x 66 1/2 in. (115.6 x 168.9 cm),Credit: https://en.wikipedia.org/wiki/File:A_Meat_Stall_with_the_Holy_Family_Giving_Alms_-_Pieter_Aertsen_-_Google_Cultural_Institute.jpg,35.8101206,-78.70200977
image40,image40.jpg,Kermis,"Bruegel, Peter (c. 1525/30-1569)",1568,c. 1568,"The panel, neither signed nor dated, was painted circa 1567, at about the same time as The Peasant Wedding.The paintings are the same size and may have been intended as a pair or as part of a series illustrating peasant life.They are the two most outstanding examples of Bruegel's late style, which is characterized by his use of monumental Italianate figures. Like The Peasant Wedding, it is likely that Bruegel intended this painting to have a moral sense rather than simply being an affectionate portrayal of peasant life. Gluttony, lust and anger can all be identified in the picture.The man seated next to the bagpipe player wears a peacock feather in his hat, a symbol of vanity and pride.[4] The occasion for the peasants' revelry is a Saint's day, but dancers turn their backs on the church and pay no attention whatsoever to the image of the Virgin Mary which hangs on the tree.The prominence of the tavern makes it clear that they are preoccupied with material rather than spiritual matters.
Description from: https://en.wikipedia.org/wiki/The_Peasant_Dance",,"Vienna, Austria",Kunsthistorishes Museum,image/jpeg,oil on oak wood; 114 cm × 164 cm (45 in × 65 in) ,"Kermis"" by the Web Gallery of Art, Emil Krén and Daniel Marx, (https://commons.wikimedia.org/wiki/File:Pieter_Bruegel_the_Elder_-_The_Peasant_Dance_-_WGA3499.jpg), Public Domain.",48.2040161,16.36238821
image41,image41.jpg,Wheat Harvest,"Bruegel, Peter (c. 1525/30-1569)",1565,1565,"In this work, the viewer is transported to a hot summer day in the Netherlands. It belongs to a series, commissioned by the Antwerp merchant Niclaes Jongelinck for his suburban home.The cycle originally included six paintings showing the times of the year. Apart from The Harvesters, which is usually identified as representing July– August, four other paintings of the group have survived (now in the Kunsthistorisches Museum,Vienna, and Lobkowicz Collection, Prague). Bruegel’s series is a watershed in the history of Western art.The religious pretext for landscape painting has been suppressed in favor of a new humanism, and the unidealized description of the local scene is based on natural observations.",,"New York, USA",Metropolitan Museum of Art,image/jpeg,oil on wood; 46 7/8 x 63 3/4 in. (119 x 162 cm);,"""Wheat Harvest"" by the Metropolitan Museum, Rogers Fund, 1919, (https://www.metmuseum.org/art/collection/search/435809), Public Domain.",40.77965593,-73.96264319